Oaxaca, 80.0, 69.7
Guerrero, 77.0, 69.9
Tlaxcala, 73.1, 67.2
Hidalgo, 70.9, 67.4
Chis, 70.5, 60.3
Puebla, 69.3, 61.8
Tabasco, 67.9, 55.1
Veracruz, 67.4, 58.8
Morelos, 66.6, 64.7
Yucatan, 63.2, 54.5
Michoacan, 62.6, 60.7
Campeche, 60.5, 51.9
Nayarit, 58.8, 52.3
Mexico, 57.1, 52.6
Gto, 55.1, 50.5
Zacatecas, 53.1, 52
Durango, 52.7, 45.3
San Luis Potosi, 51.6, 47.1
Col, 51, 41.9
Jalisco, 48.2, 41
Quintana Roo, 46, 42
Ciudad de Mexico, 45.6, 46.3
Tamaulipas, 44.6, 39.3
Sinaloa, 43.9, 43.3
Aguascalientes, 41.5, 37.6
Sonora, 41.3, 37.7
Baja California Sur, 40.1, 34.9
Nuevo Leon, 39.9, 33.9
Coahuila, 37.4, 30.2
Baja California, 37.4, 37.6
Chihuahua, 29.7, 30.8
