Chiapas, 61.1
Oaxaca, 65.7
Guerrero, 52.7
Michioacán, 51.2
Hidalgo, 50.4
Veracruz de Ignacio de la Llave, 49.2
Morelos, 46.4
Tlaxcala, 45.2
Tabasco, 44.8
Mexico, 44.2
Jalisco, 37.1
Zacatecas, 36.7
Yucatán, 35.1
Campeche, 35.6
San Luis Potosí, 34.6
Nayarit, 34.1
Guanajuato, 33.2
Quintana Roo, 32.4
Qurétaro, 30.4
Durango, 30.2
Ciudad de México, 28.7
Baja California, 28.4
Tamaulipas, 27.9
Sinaloa, 26.6
Aguascalientes, 26.2
Sonoram 24.4
Nuevo León, 22.8
Colima, 21.9
Chihuahua, 21.5
Coahuila de Zaragoza, 19.7
Baja California Sur
